game_id,container,corner_selection_method,corner_rows_selected,requested_frames,found_frames,identified_team_players,positions_extracted,home_team_name,away_team_name
2055614,data/skillcorner/2055614.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2055615,data/skillcorner/2055615.zip,fallback_all_corner_reception_rows,9,9,9,0,0,,
2057939,data/skillcorner/2057939.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2057940,data/skillcorner/2057940.zip,fallback_all_corner_reception_rows,7,7,7,0,0,,
2057941,data/skillcorner/2057941.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2058037,data/skillcorner/2058037.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2058047,data/skillcorner/2058047.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2058048,data/skillcorner/2058048.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2058049,data/skillcorner/2058049.zip,fallback_all_corner_reception_rows,3,3,3,0,0,,
2059080,data/skillcorner/2059080.zip,fallback_all_corner_reception_rows,7,7,7,0,0,,
2059100,data/skillcorner/2059100.zip,fallback_all_corner_reception_rows,9,9,9,0,0,,
2059101,data/skillcorner/2059101.zip,fallback_all_corner_reception_rows,13,13,13,0,0,,
2059102,data/skillcorner/2059102.zip,fallback_all_corner_reception_rows,6,6,6,0,0,,
2059201,data/skillcorner/2059201.zip,fallback_all_corner_reception_rows,2,2,2,0,0,,
2059209,data/skillcorner/2059209.zip,fallback_all_corner_reception_rows,4,4,4,0,0,,
2059210,data/skillcorner/2059210.zip,fallback_all_corner_reception_rows,5,5,5,0,0,,
2059211,data/skillcorner/2059211.zip,fallback_all_corner_reception_rows,11,11,11,0,0,,
