skillcorner_match_id,corner_index,corner_time_sec,frame_index,timestamp,time_sec,t_rel,entity_type,entity_id,entity_name,team,x,y,ball_tracked,touched_ball
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,673618,Cubarsí Paredes,Barcelona,110.537,31.494,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,68071,Martín Langreo,Barcelona,115.417,41.188,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,11630,Koundé,Barcelona,109.966,29.588,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,53347,Balde Martínez,Barcelona,75.497,44.235,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,25738,González López,Barcelona,95.6,53.294,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,23104,García Martret,Barcelona,111.006,31.176,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,154096,López Marín,Barcelona,119.257,79.012,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,639784,Nasroui Ebana,Barcelona,95.794,52.541,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,16062,Dias Belloli,Barcelona,97.497,37.471,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,9106,Lewandowski,Barcelona,101.897,32.012,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,19073,Zetterer (GK),Opponent,119.074,40.6,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,19053,Koch,Opponent,113.166,41.212,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,32269,Theate,Opponent,113.314,37.0,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,12376,Nissen Kristensen,Opponent,113.897,42.059,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,105881,Brown,Opponent,103.257,38.212,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,3015,Skhiri,Opponent,117.76,44.365,,False
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,153788,Larsson,Opponent,114.686,46.071,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,6890,Götze,Opponent,108.72,39.071,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,14258,Doan,Opponent,109.291,52.553,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,130425,Chaïbi,Opponent,109.92,40.106,,True
2047362,1,817.0,43,00:13:39.30,819.3,2.3,player,31250,Knauff,Opponent,114.491,34.047,,False
2047362,1,817.0,44,00:13:39.40,819.4,2.4,ball,,Ball,Ball,119.131,77.259,True,
2047362,1,817.0,44,00:13:39.40,819.4,2.4,player,32441,García Pons (GK),Barcelona,37.189,40.976,,False
